WorkstationGroupID,Number of Items,Service Time,Time between arrivals,,Evening Times Between Arrivals
1,17,72,7,,
8,9,100,2,,
1,9,94,4,,
8,6,282,1,,
1,2,40,19,,
1,1,31,11,,
1,17,125,10,,
1,19,134,10,,
1,19,85,8,,
1,2,21,9,,
8,5,214,7,,
1,35,180,15,,
1,15,48,4,,
8,2,77,42,,
1,13,57,2,,
1,10,65,18,,
1,31,101,15,,
8,5,90,3,,
1,4,55,1,,
1,5,59,18,,
1,1,19,10,,
1,25,109,9,,
1,40,108,2,,
8,42,661,10,,
1,5,33,5,,
1,17,79,5,,
1,32,115,21,,
1,2,46,1,,
8,12,312,1,,
1,7,40,0,,
1,3,42,4,,
8,1,48,21,,
8,9,230,0,,
8,9,96,15,,
1,3,28,2,,
1,7,62,2,,
1,29,145,7,,
1,11,77,1,,
8,3,71,3,,
1,36,104,8,,
1,9,35,5,,
1,22,90,24,,
1,35,152,6,,
1,10,43,6,,
1,30,87,17,,
8,6,104,2,,
8,4,619,5,,
1,6,51,13,,
1,3,46,17,,
1,7,51,1,,
1,36,95,20,,
1,10,63,8,,
1,7,44,2,,
1,16,96,2,,
1,7,34,18,,
1,10,183,16,,
1,40,180,0,,
8,3,211,6,,
1,14,66,1,,
1,1,36,10,,
1,14,50,2,,
1,13,68,10,,
1,14,53,1,,
8,19,215,13,,
1,7,50,17,,
1,11,39,7,,
1,8,43,5,,
1,20,82,10,,
1,2,29,4,,
8,2,214,1,,
1,12,61,6,,
1,7,38,6,,
1,28,146,11,,
1,14,81,1,,
1,3,28,20,,
1,28,86,8,,
1,37,141,9,,
1,28,415,6,,
1,1,28,13,,
1,10,51,13,,
1,2,24,2,,
1,8,33,9,,
1,14,89,13,,
1,51,141,7,,
8,2,64,4,,
1,23,127,2,,
1,15,82,1,,
1,11,112,27,,
1,23,99,0,,
8,7,103,30,,
8,13,172,5,,
1,16,60,0,,
1,17,66,19,,
1,1,22,1,,
8,5,110,21,,
1,76,194,9,,
1,5,44,10,,
1,10,43,2,,
1,90,281,2,,
1,15,59,1,,
1,23,80,1,,
1,38,225,2,,
8,13,171,26,,
1,2,41,9,,
1,1,27,10,,
8,5,142,10,,
1,18,84,7,,
1,10,121,0,,
8,18,244,5,,
1,26,89,10,,
1,2,37,22,,
8,4,107,15,,
1,11,44,25,,
1,1,19,17,,
1,21,68,2,,
1,9,76,0,,
1,33,92,9,,
1,7,52,2,,
8,3,90,2,,
8,7,129,12,,
1,3,29,4,,
8,9,235,19,,
8,22,384,6,,
1,4,31,3,,
1,37,293,4,,
1,20,100,4,,
1,77,183,1,,
1,37,74,10,,
1,15,107,9,,
1,21,108,7,,
1,5,28,9,,
8,7,103,16,,
1,24,78,3,,
1,6,36,20,,
1,6,42,2,,
8,8,155,6,,
8,4,70,8,,
1,10,63,5,,
1,13,61,21,,
1,15,54,1,,
1,4,88,10,,
1,7,45,2,,
1,20,79,9,,
8,4,172,14,,
8,19,193,1,,
1,21,89,3,,
1,4,38,14,,
1,1,18,2,,
1,16,92,10,,
1,18,62,6,,
1,3,41,6,,
1,5,55,4,,
8,9,203,7,,
1,2,22,3,,
1,8,296,19,,
1,30,128,2,,
1,11,47,2,,
8,4,109,11,,
1,9,70,2,,
1,22,97,5,,
1,3,22,15,,
1,17,66,7,,
1,4,32,5,,
1,47,143,8,,
1,22,72,19,,
1,9,50,7,,
8,4,77,2,,
1,6,42,18,,
1,11,68,10,,
