WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,17,72,7,17,72,9,100,,,,,,,,
8,9,100,2,9,94,6,282,,,,,,,,
1,9,94,4,2,40,5,214,,,,,,,,
8,6,282,1,1,31,2,77,,,,,,,,
1,2,40,19,17,125,5,90,,,,,,,,
1,1,31,11,19,134,42,661,,,,,,,,
1,17,125,10,19,85,12,312,,,,,,,,
1,19,134,10,2,21,1,48,,,,,,,,
1,19,85,8,35,180,9,230,,,,,,,,
1,2,21,9,15,48,9,96,,,,,,,,
8,5,214,7,13,57,3,71,,,,,,,,
1,35,180,15,10,65,6,104,,,,,,,,
1,15,48,4,31,101,4,619,,,,,,,,
8,2,77,42,4,55,3,211,,,,,,,,
1,13,57,2,5,59,19,215,,,,,,,,
1,10,65,18,1,19,2,214,,,,,,,,
1,31,101,15,25,109,2,64,,,,,,,,
8,5,90,3,40,108,7,103,,,,,,,,
1,4,55,1,5,33,13,172,,,,,,,,
1,5,59,18,17,79,5,110,,,,,,,,
1,1,19,10,32,115,13,171,,,,,,,,
1,25,109,9,2,46,5,142,,,,,,,,
1,40,108,2,7,40,18,244,,,,,,,,
8,42,661,10,3,42,4,107,,,,,,,,
1,5,33,5,3,28,3,90,,,,,,,,
1,17,79,5,7,62,7,129,,,,,,,,
1,32,115,21,29,145,9,235,,,,,,,,
1,2,46,1,11,77,22,384,,,,,,,,
8,12,312,1,36,104,7,103,,,,,,,,
1,7,40,0,9,35,8,155,,,,,,,,
1,3,42,4,22,90,4,70,,,,,,,,
8,1,48,21,35,152,4,172,,,,,,,,
8,9,230,0,10,43,19,193,,,,,,,,
8,9,96,15,30,87,9,203,,,,,,,,
1,3,28,2,6,51,4,109,,,,,,,,
1,7,62,2,3,46,4,77,,,,,,,,
1,29,145,7,7,51,9,153,,,,,,,,
1,11,77,1,36,95,16,158,,,,,,,,
8,3,71,3,10,63,22,362,,,,,,,,
1,36,104,8,7,44,13,170,,,,,,,,
1,9,35,5,16,96,22,341,,,,,,,,
1,22,90,24,7,34,15,131,,,,,,,,
1,35,152,6,10,183,23,245,,,,,,,,
1,10,43,6,40,180,17,170,,,,,,,,
1,30,87,17,14,66,16,160,,,,,,,,
8,6,104,2,1,36,6,114,,,,,,,,
8,4,619,5,14,50,13,234,,,,,,,,
1,6,51,13,13,68,10,242,,,,,,,,
1,3,46,17,14,53,18,247,,,,,,,,
1,7,51,1,7,50,24,210,,,,,,,,
1,36,95,20,11,39,11,138,,,,,,,,
1,10,63,8,8,43,12,133,,,,,,,,
1,7,44,2,20,82,10,103,,,,,,,,
1,16,96,2,2,29,1,90,,,,,,,,
1,7,34,18,12,61,9,181,,,,,,,,
1,10,183,16,7,38,24,255,,,,,,,,
1,40,180,0,28,146,10,141,,,,,,,,
8,3,211,6,14,81,5,108,,,,,,,,
1,14,66,1,3,28,4,255,,,,,,,,
1,1,36,10,28,86,9,199,,,,,,,,
1,14,50,2,37,141,4,42,,,,,,,,
1,13,68,10,28,415,14,165,,,,,,,,
1,14,53,1,1,28,14,149,,,,,,,,
8,19,215,13,10,51,30,307,,,,,,,,
1,7,50,17,2,24,1,102,,,,,,,,
1,11,39,7,8,33,11,188,,,,,,,,
1,8,43,5,14,89,5,102,,,,,,,,
1,20,82,10,51,141,5,88,,,,,,,,
1,2,29,4,23,127,7,161,,,,,,,,
8,2,214,1,15,82,9,195,,,,,,,,
1,12,61,6,11,112,4,108,,,,,,,,
1,7,38,6,23,99,2,89,,,,,,,,
1,28,146,11,16,60,2,135,,,,,,,,
1,14,81,1,17,66,4,52,,,,,,,,
1,3,28,20,1,22,4,131,,,,,,,,
1,28,86,8,76,194,6,377,,,,,,,,
1,37,141,9,5,44,2,93,,,,,,,,
1,28,415,6,10,43,4,121,,,,,,,,
1,1,28,13,90,281,8,219,,,,,,,,
1,10,51,13,15,59,6,138,,,,,,,,
1,2,24,2,23,80,20,285,,,,,,,,
1,8,33,9,38,225,8,123,,,,,,,,
1,14,89,13,2,41,15,126,,,,,,,,
1,51,141,7,1,27,3,56,,,,,,,,
8,2,64,4,18,84,15,196,,,,,,,,
1,23,127,2,10,121,5,155,,,,,,,,
1,15,82,1,26,89,8,418,,,,,,,,
1,11,112,27,2,37,1,78,,,,,,,,
1,23,99,0,11,44,5,384,,,,,,,,
8,7,103,30,1,19,2,40,,,,,,,,
8,13,172,5,21,68,3,255,,,,,,,,
1,16,60,0,9,76,4,187,,,,,,,,
1,17,66,19,33,92,8,126,,,,,,,,
1,1,22,1,7,52,34,461,,,,,,,,
8,5,110,21,3,29,1,102,,,,,,,,
1,76,194,9,4,31,2,84,,,,,,,,
1,5,44,10,37,293,24,424,,,,,,,,
1,10,43,2,20,100,11,340,,,,,,,,
1,90,281,2,77,183,8,182,,,,,,,,
1,15,59,1,37,74,3,57,,,,,,,,
1,23,80,1,15,107,1,52,,,,,,,,
1,38,225,2,21,108,9,122,,,,,,,,
8,13,171,26,5,28,23,281,,,,,,,,
1,2,41,9,24,78,22,231,,,,,,,,
1,1,27,10,6,36,20,435,,,,,,,,
8,5,142,10,6,42,14,226,,,,,,,,
1,18,84,7,10,63,7,82,,,,,,,,
1,10,121,0,13,61,1,72,,,,,,,,
8,18,244,5,15,54,9,131,,,,,,,,
1,26,89,10,4,88,3,81,,,,,,,,
1,2,37,22,7,45,22,310,,,,,,,,
8,4,107,15,20,79,7,116,,,,,,,,
1,11,44,25,21,89,6,85,,,,,,,,
1,1,19,17,4,38,3,109,,,,,,,,
1,21,68,2,1,18,1,106,,,,,,,,
1,9,76,0,16,92,15,211,,,,,,,,
1,33,92,9,18,62,6,255,,,,,,,,
1,7,52,2,3,41,3,94,,,,,,,,
8,3,90,2,5,55,4,108,,,,,,,,
8,7,129,12,2,22,3,90,,,,,,,,
1,3,29,4,8,296,12,233,,,,,,,,
8,9,235,19,30,128,5,68,,,,,,,,
8,22,384,6,11,47,15,173,,,,,,,,
1,4,31,3,9,70,5,229,,,,,,,,
1,37,293,4,22,97,9,183,,,,,,,,
1,20,100,4,3,22,3,126,,,,,,,,
1,77,183,1,17,66,14,353,,,,,,,,
1,37,74,10,4,32,5,136,,,,,,,,
1,15,107,9,47,143,7,76,,,,,,,,
1,21,108,7,22,72,3,110,,,,,,,,
1,5,28,9,9,50,14,160,,,,,,,,
8,7,103,16,6,42,6,131,,,,,,,,
1,24,78,3,11,68,5,176,,,,,,,,
1,6,36,20,10,66,7,202,,,,,,,,
1,6,42,2,14,58,39,336,,,,,,,,
8,8,155,6,3,26,1,63,,,,,,,,
8,4,70,8,1,25,5,218,,,,,,,,
1,10,63,5,6,31,3,104,,,,,,,,
1,13,61,21,7,44,10,231,,,,,,,,
1,15,54,1,5,105,13,420,,,,,,,,
1,4,88,10,3,22,11,139,,,,,,,,
1,7,45,2,8,58,11,310,,,,,,,,
1,20,79,9,33,113,5,124,,,,,,,,
8,4,172,14,2,47,32,341,,,,,,,,
8,19,193,1,1,14,11,226,,,,,,,,
1,21,89,3,26,83,19,179,,,,,,,,
1,4,38,14,14,75,1,47,,,,,,,,
