Regular Checkout Number of Items,Regular Checkout Service Times
17,72
9,94
2,40
1,31
17,125
19,134
19,85
2,21
35,180
15,48
13,57
10,65
31,101
4,55
5,59
1,19
25,109
40,108
5,33
17,79
32,115
2,46
7,40
3,42
3,28
7,62
29,145
11,77
36,104
9,35
22,90
35,152
10,43
30,87
6,51
3,46
7,51
36,95
10,63
7,44
16,96
7,34
10,183
40,180
14,66
1,36
14,50
13,68
14,53
7,50
11,39
8,43
20,82
2,29
12,61
7,38
28,146
14,81
3,28
28,86
37,141
28,415
1,28
10,51
2,24
8,33
14,89
51,141
23,127
15,82
11,112
23,99
16,60
17,66
1,22
76,194
5,44
10,43
90,281
15,59
23,80
38,225
2,41
1,27
18,84
10,121
26,89
2,37
11,44
1,19
21,68
9,76
33,92
7,52
3,29
4,31
37,293
20,100
77,183
37,74
15,107
21,108
5,28
24,78
6,36
6,42
10,63
13,61
15,54
4,88
7,45
20,79
21,89
4,38
1,18
16,92
18,62
3,41
5,55
2,22
8,296
30,128
11,47
9,70
22,97
3,22
17,66
4,32
47,143
22,72
9,50
6,42
11,68
10,66
14,58
3,26
1,25
6,31
7,44
5,105
3,22
8,58
33,113
2,47
1,14
26,83
14,75
37,109
20,72
3,48
15,104
7,42
10,100
6,117
47,165
8,46
20,95
13,78
13,58
6,46
5,36
13,52
3,38
7,84
1,19
6,43
56,150
8,48
18,68
3,24
22,79
3,39
6,41
4,43
3,34
15,62
14,77
55,116
11,59
12,70
24,113
27,136
28,95
3,38
5,61
19,67
25,121
12,85
51,187
32,100
33,102
25,87
11,38
20,89
10,51
15,107
10,46
12,58
21,155
7,46
13,52
69,288
6,56
6,41
12,61
26,136
4,39
12,77
5,21
14,106
11,58
18,109
12,80
24,91
13,66
14,57
4,59
43,118
17,116
19,91
1,17
3,40
6,61
6,47
6,36
26,76
26,114
26,99
11,52
36,93
11,62
25,76
1,20
15,58
8,27
15,60
21,130
5,30
13,76
7,68
9,99
3,37
3,52
4,24
8,75
4,29
20,73
31,137
4,23
13,55
9,59
20,65
11,75
5,63
21,145
24,89
8,54
2,60
28,114
25,127
33,112
11,48
23,77
3,78
7,78
4,45
15,111
21,82
16,127
15,87
19,77
7,57
4,48
12,68
16,71
33,172
33,122
10,52
4,44
2,21
16,59
2,28
2,14
14,112
13,82
9,47
6,44
23,145
7,55
11,37
7,38
15,141
23,100
6,36
17,120
24,165
40,123
26,128
3,25
64,202
4,42
3,15
1,39
2,24
4,37
50,106
1,23
11,75
43,113
20,152
19,79
45,130
3,36
25,87
1,18
22,91
16,112
7,28
18,77
8,92
8,44
20,80
4,33
5,54
13,93
14,74
20,68
8,45
5,35
19,63
79,252
68,219
4,44
18,97
13,63
10,50
11,78
2,32
10,52
28,111
1,14
15,85
41,152
9,49
15,116
9,108
12,182
30,96
10,39
20,106
17,65
10,38
11,125
9,77
4,115
1,14
6,100
18,113
23,91
12,46
10,46
4,39
4,73
5,62
6,41
9,58
11,54
35,86
32,128
4,46
14,56
4,62
39,143
25,84
40,158
9,63
23,96
8,79
9,57
12,63
13,66
21,98
19,63
21,79
9,60
5,30
10,69
6,55
7,68
33,82
13,122
20,98
16,157
20,100
2,49
5,59
30,101
30,88
15,100
23,88
23,137
4,24
23,135
5,40
37,103
7,64
45,132
22,95
11,103
4,72
22,121
8,71
28,209
7,63
6,60
11,141
51,298
12,60
18,76
24,116
12,80
3,54
3,32
16,102
2,32
9,45
2,40
6,72
16,60
10,39
5,66
9,56
22,163
22,116
25,123
22,107
34,142
2,31
11,51
12,90
108,262
9,50
11,68
5,75
16,72
16,71
7,79
22,68
9,62
9,72
44,139
7,59
10,44
9,55
27,113
5,75
7,69
21,77
37,173
14,69
14,44
18,77
24,102
8,70
16,61
5,27
3,63
24,122
2,42
11,91
14,177
22,108
2,25
12,89
50,183
41,137
5,32
15,104
20,114
19,66
33,126
53,187
20,151
6,52
32,102
19,81
5,55
15,81
32,90
10,65
5,74
11,87
5,24
8,52
8,37
14,95
6,68
19,126
15,223
4,27
6,42
14,79
14,65
10,39
5,37
16,75
12,52
1,12
46,157
14,83
1,25
13,90
4,32
7,71
14,54
17,72
3,39
10,112
9,49
19,125
4,18
4,34
9,69
9,43
9,78
16,64
10,72
4,54
22,91
17,126
2,43
25,92
24,168
32,94
17,86
6,38
16,142
1,13
3,21
13,80
4,31
21,131
44,133
3,27
32,104
11,86
18,95
15,64
15,200
15,120
26,117
12,51
14,53
12,55
20,279
5,49
5,84
14,117
9,113
1,35
14,162
4,67
13,131
35,182
14,76
5,42
43,157
9,50
12,62
26,95
14,51
33,131
5,53
25,59
3,43
30,153
6,41
5,40
1,20
9,38
7,42
39,192
5,57
20,56
8,94
2,43
5,103
7,50
9,53
13,92
24,101
15,101
23,99
