Self Checkout Number of Items,Self Checkout Service Times
9,100
6,282
5,214
2,77
5,90
42,661
12,312
1,48
9,230
9,96
3,71
6,104
4,619
3,211
19,215
2,214
2,64
7,103
13,172
5,110
13,171
5,142
18,244
4,107
3,90
7,129
9,235
22,384
7,103
8,155
4,70
4,172
19,193
9,203
4,109
4,77
9,153
16,158
22,362
13,170
22,341
15,131
23,245
17,170
16,160
6,114
13,234
10,242
18,247
24,210
11,138
12,133
10,103
1,90
9,181
24,255
10,141
5,108
4,255
9,199
4,42
14,165
14,149
30,307
1,102
11,188
5,102
5,88
7,161
9,195
4,108
2,89
2,135
4,52
4,131
6,377
2,93
4,121
8,219
6,138
20,285
8,123
15,126
3,56
15,196
5,155
8,418
1,78
5,384
2,40
3,255
4,187
8,126
34,461
1,102
2,84
24,424
11,340
8,182
3,57
1,52
9,122
23,281
22,231
20,435
14,226
7,82
1,72
9,131
3,81
22,310
7,116
6,85
3,109
1,106
15,211
6,255
3,94
4,108
3,90
12,233
5,68
15,173
5,229
9,183
3,126
14,353
5,136
7,76
3,110
14,160
6,131
5,176
7,202
39,336
1,63
5,218
3,104
10,231
13,420
11,139
11,310
5,124
32,341
11,226
19,179
1,47
19,268
4,91
2,206
5,91
12,140
9,242
15,201
9,221
9,120
4,229
21,236
39,421
4,86
3,103
6,158
25,218
17,321
21,220
4,78
1,83
11,193
2,69
4,116
4,62
5,124
8,92
5,105
2,47
2,121
5,62
9,164
5,117
7,193
39,587
5,130
3,135
12,243
9,136
6,435
4,153
12,318
10,151
5,100
13,192
1,57
1,49
3,91
1,80
2,126
20,516
1,153
3,165
10,292
8,101
3,96
11,187
6,137
7,172
25,209
1,82
14,154
5,77
7,123
6,178
13,289
2,62
8,192
6,165
8,122
11,162
2,69
3,68
3,105
9,161
4,169
12,184
1,111
11,496
8,240
13,232
4,243
3,114
12,227
1,64
11,311
17,316
5,99
19,230
1,42
31,348
2,103
4,155
7,187
8,511
3,89
21,334
4,87
2,224
3,267
1,451
14,282
28,394
6,173
5,153
2,67
2,105
22,356
29,411
12,238
2,132
14,190
5,80
15,374
17,487
2,54
5,312
6,126
6,124
7,105
2,176
2,85
21,314
27,618
3,143
3,67
2,53
7,170
5,148
3,56
28,335
10,218
1,130
2,59
23,334
5,205
1,63
14,858
2,101
8,157
3,80
32,398
3,68
2,55
5,369
1,45
29,224
12,321
2,63
6,209
6,120
1,28
30,335
14,200
31,230
10,181
19,170
25,292
2,72
4,135
40,298
4,119
5,70
1,56
5,119
6,122
37,403
3,171
13,208
4,188
3,106
4,76
4,349
18,477
5,137
1,74
5,162
12,140
2,97
2,73
9,192
1,62
38,476
40,331
9,209
16,172
1,39
8,141
7,114
9,116
